dialect,disgust ,token,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تعيس,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تعيسه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,غربه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,غريب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,غربة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,غريب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مهومه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تزعل,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,زعل,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تصيح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,يصيح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,صياح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,صاح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تدمع,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,يدمع,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,دموع,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,تبكي,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,يبكي,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,ابكي,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مبرطمه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مبرطمة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,مبرطم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,برطم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,برطوم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,زعل ,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,زعلان,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,زعلانة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,sad,صياح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,مروعبه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,مروعبة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,مروعب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,مرعب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,تخوف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,يخوف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,رعب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,خوف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,خايف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,خايفة,,,,,,,,,,,,,,,,,,,,,,,
